,Room_Id,Room_uniqueId,ElementId,Element_uniqueId,Parallel_floor_id,Parallel_floors_count,Distance_max
128,3431519,9cf76385-c087-44ac-94ef-586873199046-00345c5f,2442208,00452c3a-4560-4f27-a467-2df06222d0a8-002543e0,[2342938],1,3.2
129,3431519,9cf76385-c087-44ac-94ef-586873199046-00345c5f,2342938,255f5692-a770-4d14-850d-846de2944ef3-0023c01a,[2442208],1,3.2
130,3431521,9cf76385-c087-44ac-94ef-586873199046-00345c61,2442208,00452c3a-4560-4f27-a467-2df06222d0a8-002543e0,[2342938],1,3.2
131,3431521,9cf76385-c087-44ac-94ef-586873199046-00345c61,2342938,255f5692-a770-4d14-850d-846de2944ef3-0023c01a,[2442208],1,3.2
132,3431524,9cf76385-c087-44ac-94ef-586873199046-00345c64,2442208,00452c3a-4560-4f27-a467-2df06222d0a8-002543e0,[2342938],1,3.2
133,3431524,9cf76385-c087-44ac-94ef-586873199046-00345c64,2342938,255f5692-a770-4d14-850d-846de2944ef3-0023c01a,[2442208],1,3.2
134,3431528,9cf76385-c087-44ac-94ef-586873199046-00345c68,2442208,00452c3a-4560-4f27-a467-2df06222d0a8-002543e0,[2342938],1,3.2
135,3431528,9cf76385-c087-44ac-94ef-586873199046-00345c68,2342938,255f5692-a770-4d14-850d-846de2944ef3-0023c01a,[2442208],1,3.2
136,3431532,9cf76385-c087-44ac-94ef-586873199046-00345c6c,2442208,00452c3a-4560-4f27-a467-2df06222d0a8-002543e0,[2342938],1,3.2
137,3431532,9cf76385-c087-44ac-94ef-586873199046-00345c6c,2342938,255f5692-a770-4d14-850d-846de2944ef3-0023c01a,[2442208],1,3.2
138,3431533,9cf76385-c087-44ac-94ef-586873199046-00345c6d,2442208,00452c3a-4560-4f27-a467-2df06222d0a8-002543e0,[2342938],1,3.2
139,3431533,9cf76385-c087-44ac-94ef-586873199046-00345c6d,2342938,255f5692-a770-4d14-850d-846de2944ef3-0023c01a,[2442208],1,3.2
140,3431534,9cf76385-c087-44ac-94ef-586873199046-00345c6e,2442208,00452c3a-4560-4f27-a467-2df06222d0a8-002543e0,[2342938],1,3.2
141,3431534,9cf76385-c087-44ac-94ef-586873199046-00345c6e,2342938,255f5692-a770-4d14-850d-846de2944ef3-0023c01a,[2442208],1,3.2
142,3431536,9cf76385-c087-44ac-94ef-586873199046-00345c70,2442208,00452c3a-4560-4f27-a467-2df06222d0a8-002543e0,[2342938],1,3.2
143,3431536,9cf76385-c087-44ac-94ef-586873199046-00345c70,2342938,255f5692-a770-4d14-850d-846de2944ef3-0023c01a,[2442208],1,3.2
144,3431537,9cf76385-c087-44ac-94ef-586873199046-00345c71,2442208,00452c3a-4560-4f27-a467-2df06222d0a8-002543e0,[2342938],1,3.2
145,3431537,9cf76385-c087-44ac-94ef-586873199046-00345c71,2342938,255f5692-a770-4d14-850d-846de2944ef3-0023c01a,[2442208],1,3.2
146,3431538,9cf76385-c087-44ac-94ef-586873199046-00345c72,2442208,00452c3a-4560-4f27-a467-2df06222d0a8-002543e0,[2342938],1,3.2
147,3431538,9cf76385-c087-44ac-94ef-586873199046-00345c72,2342938,255f5692-a770-4d14-850d-846de2944ef3-0023c01a,[2442208],1,3.2
148,3431540,9cf76385-c087-44ac-94ef-586873199046-00345c74,2442208,00452c3a-4560-4f27-a467-2df06222d0a8-002543e0,[2342938],1,3.2
149,3431540,9cf76385-c087-44ac-94ef-586873199046-00345c74,2342938,255f5692-a770-4d14-850d-846de2944ef3-0023c01a,[2442208],1,3.2
150,3431542,9cf76385-c087-44ac-94ef-586873199046-00345c76,2442208,00452c3a-4560-4f27-a467-2df06222d0a8-002543e0,[2342938],1,3.2
151,3431542,9cf76385-c087-44ac-94ef-586873199046-00345c76,2342938,255f5692-a770-4d14-850d-846de2944ef3-0023c01a,[2442208],1,3.2
152,3431543,9cf76385-c087-44ac-94ef-586873199046-00345c77,2442208,00452c3a-4560-4f27-a467-2df06222d0a8-002543e0,[2342938],1,3.2
153,3431543,9cf76385-c087-44ac-94ef-586873199046-00345c77,2342938,255f5692-a770-4d14-850d-846de2944ef3-0023c01a,[2442208],1,3.2
154,3431544,9cf76385-c087-44ac-94ef-586873199046-00345c78,2442208,00452c3a-4560-4f27-a467-2df06222d0a8-002543e0,[2342938],1,3.2
155,3431544,9cf76385-c087-44ac-94ef-586873199046-00345c78,2342938,255f5692-a770-4d14-850d-846de2944ef3-0023c01a,[2442208],1,3.2
156,3431545,9cf76385-c087-44ac-94ef-586873199046-00345c79,2442208,00452c3a-4560-4f27-a467-2df06222d0a8-002543e0,[2342938],1,3.2
157,3431545,9cf76385-c087-44ac-94ef-586873199046-00345c79,2342938,255f5692-a770-4d14-850d-846de2944ef3-0023c01a,[2442208],1,3.2
158,3431546,9cf76385-c087-44ac-94ef-586873199046-00345c7a,2442208,00452c3a-4560-4f27-a467-2df06222d0a8-002543e0,[2342938],1,3.2
159,3431546,9cf76385-c087-44ac-94ef-586873199046-00345c7a,2342938,255f5692-a770-4d14-850d-846de2944ef3-0023c01a,[2442208],1,3.2
160,3431547,9cf76385-c087-44ac-94ef-586873199046-00345c7b,2442208,00452c3a-4560-4f27-a467-2df06222d0a8-002543e0,[2342938],1,3.2
161,3431547,9cf76385-c087-44ac-94ef-586873199046-00345c7b,2342938,255f5692-a770-4d14-850d-846de2944ef3-0023c01a,[2442208],1,3.2
162,3431548,9cf76385-c087-44ac-94ef-586873199046-00345c7c,2442208,00452c3a-4560-4f27-a467-2df06222d0a8-002543e0,[2342938],1,3.2
163,3431548,9cf76385-c087-44ac-94ef-586873199046-00345c7c,2342938,255f5692-a770-4d14-850d-846de2944ef3-0023c01a,[2442208],1,3.2
164,3431550,9cf76385-c087-44ac-94ef-586873199046-00345c7e,2442208,00452c3a-4560-4f27-a467-2df06222d0a8-002543e0,[2342938],1,3.2
165,3431550,9cf76385-c087-44ac-94ef-586873199046-00345c7e,2342938,255f5692-a770-4d14-850d-846de2944ef3-0023c01a,[2442208],1,3.2
166,3431551,9cf76385-c087-44ac-94ef-586873199046-00345c7f,2442208,00452c3a-4560-4f27-a467-2df06222d0a8-002543e0,[2342938],1,3.2
167,3431551,9cf76385-c087-44ac-94ef-586873199046-00345c7f,2342938,255f5692-a770-4d14-850d-846de2944ef3-0023c01a,[2442208],1,3.2
168,3431553,9cf76385-c087-44ac-94ef-586873199046-00345c81,2442208,00452c3a-4560-4f27-a467-2df06222d0a8-002543e0,[2342938],1,3.2
169,3431553,9cf76385-c087-44ac-94ef-586873199046-00345c81,2342938,255f5692-a770-4d14-850d-846de2944ef3-0023c01a,[2442208],1,3.2
170,3456020,e6946569-9289-4bca-99c0-23bf1e7936de-0034bc14,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[3151193],1,3.2
171,3456020,e6946569-9289-4bca-99c0-23bf1e7936de-0034bc14,3151193,6019daee-c7da-42d3-8cc4-00f4173566ea-00301559,[3145976],1,3.2
172,3456022,e6946569-9289-4bca-99c0-23bf1e7936de-0034bc16,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[3151193],1,3.2
173,3456022,e6946569-9289-4bca-99c0-23bf1e7936de-0034bc16,3151193,6019daee-c7da-42d3-8cc4-00f4173566ea-00301559,[3145976],1,3.2
