,Room_Id,Room_uniqueId,ElementId,Element_uniqueId,Nearest_elementIds,Distance_to_nearest
46,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,997119,17d64ad0-d78d-4987-a236-e3b1011abdd3-000f36ff,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]","[9.26, 2.79, 2.53, 3.29, 9.93, 3.3, 9.99, 9.31, 1.98]"
47,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,997120,17d64ad0-d78d-4987-a236-e3b1011abdd3-000f3700,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]","[9.11, 1.82, 2.68, 4.25, 10.16, 4.27, 9.97, 9.3, 2.21]"
48,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,997121,17d64ad0-d78d-4987-a236-e3b1011abdd3-000f3701,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]","[9.26, 1.95, 2.53, 4.13, 10.24, 4.14, 10.1, 9.43, 2.27]"
49,857292,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14cc,674370,89b7d9e7-00a9-45d9-8498-e33a7de65df7-000a4a42,"[424922, 425745, 977133, 428745, 845266]","[0.51, 0.3, 1.86, 1.86, 1.87]"
50,857346,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1502,935747,111f9a9a-997b-4ec8-8a29-3d1f7a7179e8-000e4743,"[422243, 906885, 424922, 845266]","[1.4, 0.57, 0.4, 0.96]"
51,857346,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1502,936823,bac06658-19d8-494b-b87a-559081499f8f-000e4b77,"[422243, 906885, 424922, 845266]","[0.37, 0.16, 1.43, 1.37]"
52,857552,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15d0,701300,4d910c58-706e-42b1-84e9-2f2677773ae0-000ab374,"[427092, 977133, 849032, 704275, 655533]","[3.0, 10.52, 3.0, 1.19, 1.2]"
53,857552,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15d0,735739,57f8477a-60e4-4504-911c-957c1b7fc5d4-000b39fb,"[427092, 977133, 849032, 704275, 655533]","[4.73, 5.18, 1.27, 6.53, 6.54]"
54,857552,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15d0,736435,80c6b7e4-2dd7-4a4e-ae16-489c86c3eac2-000b3cb3,"[427092, 977133, 849032, 704275, 655533]","[4.73, 6.34, 1.27, 5.37, 5.38]"
55,857552,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15d0,757198,df146ad3-a574-4183-b3dd-a6f6589001b3-000b8dce,"[427092, 977133, 849032, 704275, 655533]","[1.6, 7.56, 4.4, 4.29, 4.3]"
56,857552,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15d0,767797,c82e0dd9-31e8-407e-a294-c30431c2fda3-000bb735,"[427092, 977133, 849032, 704275, 655533]","[4.4, 7.42, 1.6, 4.29, 4.3]"
57,857552,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15d0,767856,c82e0dd9-31e8-407e-a294-c30431c2fda3-000bb770,"[427092, 977133, 849032, 704275, 655533]","[1.6, 6.37, 4.4, 5.51, 5.52]"
58,857552,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15d0,767857,c82e0dd9-31e8-407e-a294-c30431c2fda3-000bb771,"[427092, 977133, 849032, 704275, 655533]","[4.4, 6.2, 1.6, 5.51, 5.52]"
59,857552,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15d0,767870,c82e0dd9-31e8-407e-a294-c30431c2fda3-000bb77e,"[427092, 977133, 849032, 704275, 655533]","[1.6, 6.71, 4.4, 5.15, 5.16]"
60,857552,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15d0,767871,c82e0dd9-31e8-407e-a294-c30431c2fda3-000bb77f,"[427092, 977133, 849032, 704275, 655533]","[4.4, 6.56, 1.6, 5.15, 5.16]"
61,857552,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15d0,767916,c82e0dd9-31e8-407e-a294-c30431c2fda3-000bb7ac,"[427092, 977133, 849032, 704275, 655533]","[1.6, 5.53, 4.4, 6.37, 6.38]"
62,857552,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15d0,767917,c82e0dd9-31e8-407e-a294-c30431c2fda3-000bb7ad,"[427092, 977133, 849032, 704275, 655533]","[4.4, 5.34, 1.6, 6.37, 6.38]"
63,857552,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15d0,981963,6b947320-bbcc-4f13-964d-b6403cf5dd5c-000efbcb,"[427092, 977133, 849032, 704275, 655533]","[0.7, 6.62, 5.3, 5.51, 5.52]"
64,857552,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15d0,985756,705e25a1-127e-4d76-b5f5-4e766ef073a3-000f0a9c,"[427092, 977133, 849032, 704275, 655533]","[4.52, 0.1, 1.48, 11.6, 11.62]"
