,Room_Id,Room_uniqueId,ElementId,Element_uniqueId,Type,Normal_to_center_room
61,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,414482,ef4ad1cb-015c-4bb6-9030-e7bb82f1dd34-00065312,M_1000,"(-0.999117199, 0.042009796, 0.000000000)"
62,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,418183,d85573c2-f8d5-46ae-966a-ac82fa18f500-00066187,Generic 300,"(0.000000000, 0.000000000, 1.000000000)"
63,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,697612,f714ef06-3fa3-4b95-b3e7-bbbd1e6eda49-000aa50c,3000 x 3000mm Grid,"(0.000000000, 0.000000000, 1.000000000)"
64,857292,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14cc,176804,203cff26-4c9d-4eb4-93e5-28d28a01f256-0002b2a4,Generic 150mm,"(0.000000000, 0.000000000, -1.000000000)"
65,857292,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14cc,424922,59371552-5800-43eb-9ba3-609565158fc5-00067bda,Interior - 165 Partition (1-hr),"(0.000000000, 1.000000000, 0.000000000)"
66,857292,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14cc,425745,7fcc8dca-3132-4323-9d41-faf5184b4f26-00067f11,Interior - 165 Partition (1-hr),"(-1.000000000, 0.000000000, 0.000000000)"
67,857292,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14cc,977133,ab343b7e-3705-4b87-bacc-33c06a6cee1d-000ee8ed,Cavity wall_sliders,"(0.000000000, -1.000000000, 0.000000000)"
68,857292,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14cc,428745,c85e5be0-d8d5-4148-836f-b55e711ef373-00068ac9,SIP 202mm Wall - conc clad,"(0.000000000, -1.000000000, 0.000000000)"
69,857292,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14cc,845266,f565bef9-7d27-4781-b8d4-60f4a6034d87-000ce5d2,Wall - Timber Clad,"(1.000000000, 0.000000000, 0.000000000)"
70,857292,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14cc,418183,d85573c2-f8d5-46ae-966a-ac82fa18f500-00066187,Generic 300,"(0.000000000, 0.000000000, 1.000000000)"
71,857346,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1502,176804,203cff26-4c9d-4eb4-93e5-28d28a01f256-0002b2a4,Generic 150mm,"(0.000000000, 0.000000000, -1.000000000)"
72,857346,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1502,422243,59371552-5800-43eb-9ba3-609565158fc5-00067163,Wall - Timber Clad,"(0.000000000, 1.000000000, 0.000000000)"
73,857346,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1502,906885,b3a4a465-08e5-441a-bd3e-d967e546d52e-000dd685,Interior - 165 Partition (1-hr),"(-1.000000000, 0.000000000, 0.000000000)"
74,857346,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1502,424922,59371552-5800-43eb-9ba3-609565158fc5-00067bda,Interior - 165 Partition (1-hr),"(0.000000000, -1.000000000, 0.000000000)"
75,857346,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1502,845266,f565bef9-7d27-4781-b8d4-60f4a6034d87-000ce5d2,Wall - Timber Clad,"(1.000000000, 0.000000000, 0.000000000)"
76,857346,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1502,418183,d85573c2-f8d5-46ae-966a-ac82fa18f500-00066187,Generic 300,"(0.000000000, 0.000000000, 1.000000000)"
77,857545,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15c9,418183,d85573c2-f8d5-46ae-966a-ac82fa18f500-00066187,Generic 300,"(0.000000000, 0.000000000, 1.000000000)"
78,857545,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15c9,176804,203cff26-4c9d-4eb4-93e5-28d28a01f256-0002b2a4,Generic 150mm,"(0.000000000, 0.000000000, -1.000000000)"
79,857545,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15c9,418079,72678df9-14a3-4aee-a80e-94a8e55a0926-0006611f,Wall - Timber Clad,"(0.000000000, 1.000000000, 0.000000000)"
80,857545,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15c9,422243,59371552-5800-43eb-9ba3-609565158fc5-00067163,Wall - Timber Clad,"(0.000000000, -1.000000000, 0.000000000)"
81,857545,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15c9,845266,f565bef9-7d27-4781-b8d4-60f4a6034d87-000ce5d2,Wall - Timber Clad,"(-1.000000000, 0.000000000, 0.000000000)"
