,Room_Id,Room_uniqueId,ElementId,Element_uniqueId,Width,Height,Perpendicular_walls_id,Perpendicular_walls_count,Parallel_walls_id,Parallel_walls_count,Distance_to_parall,Distance_to_parall_mi,Distance_to_parall_mean,Distance_to_parall_ma,Nearest_walls_id,Angles_to_walls,Angles_to_walls_mi,Angles_to_walls_mean,Angles_to_walls_ma
0,393139,69a69155-af3a-4ab9-a082-58da18f85acb-0005ffb3,348774,69a69155-af3a-4ab9-a082-58da18f85acb-00055266,0.29999999999999993,2.9999999999999516,"[349688, 349649, 349983, 387704, None, 351958, None, 348890, None, 350176]",10,"[None, None, None, None, 349065, None, 351821, None, 351663, None]",10,"[None, None, None, None, 11.038, None, 8.038, None, 5.297, None]",5.297,8.124,11.038,"[None, None, 349983, 387704, None, 351958, None, 348890, None, 350176]","[90, 90, 90, 90, 0, 90, 0, 90, 0, 90]",0,63,90
1,393139,69a69155-af3a-4ab9-a082-58da18f85acb-0005ffb3,349983,69a69155-af3a-4ab9-a082-58da18f85acb-0005571f,0.13849999999999996,2.9999999999999516,"[349688, 349649, 348774, 349065, None, 351821, None, 351663, None]",9,"[None, None, None, None, 351958, None, 348890, None, 350176]",9,"[None, None, None, None, 2.031, None, 10.631, None, 2.031]",2.031,4.898,10.631,"[None, None, 348774, 349065, None, 351821, None, 351663, None]","[90, 90, 90, 90, 0, 90, 0, 90, 0]",0,60,90
2,393139,69a69155-af3a-4ab9-a082-58da18f85acb-0005ffb3,387704,69a69155-af3a-4ab9-a082-58da18f85acb-0005ea78,0.13849999999999996,2.9999999999999516,"[349688, 349649, 348774, 349065, None, 351821, None, 351663, None]",9,"[None, None, None, None, 351958, None, 348890, None, 350176]",9,"[None, None, None, None, 2.031, None, 10.631, None, 2.031]",2.031,4.898,10.631,"[None, None, 348774, 349065, None, 351821, None, 351663, None]","[90, 90, 90, 90, 0, 90, 0, 90, 0]",0,60,90
3,393139,69a69155-af3a-4ab9-a082-58da18f85acb-0005ffb3,349065,69a69155-af3a-4ab9-a082-58da18f85acb-00055389,0.29999999999999993,2.9999999999999516,"[349688, 349649, None, 349983, 387704, 351958, None, 348890, None, 350176]",10,"[None, None, 348774, None, None, None, 351821, None, 351663, None]",10,"[None, None, 11.038, None, None, None, 2.8, None, 5.542, None]",2.8,6.46,11.038,"[None, None, None, 349983, 387704, 351958, None, 348890, None, 350176]","[90, 90, 0, 90, 90, 90, 0, 90, 0, 90]",0,63,90
4,393139,69a69155-af3a-4ab9-a082-58da18f85acb-0005ffb3,351958,69a69155-af3a-4ab9-a082-58da18f85acb-00055ed6,0.2,2.9999999999999516,"[349688, 349649, 348774, None, None, 349065, 351821, None, 351663, None]",10,"[None, None, None, 349983, 387704, None, None, 348890, None]",9,"[None, None, None, 2.031, 2.031, None, None, 8.4, None]",2.031,4.154,8.4,"[None, None, 348774, None, None, 349065, 351821, None, 351663, None]","[90, 90, 90, 0, 0, 90, 90, 0, 90, 0]",0,54,90
5,393139,69a69155-af3a-4ab9-a082-58da18f85acb-0005ffb3,351821,69a69155-af3a-4ab9-a082-58da18f85acb-00055e4d,0.2,2.9999999999999516,"[349688, 349649, None, 349983, 387704, None, 351958, 348890, None, 350176]",10,"[None, None, 348774, None, None, 349065, None, None, 351663, None]",10,"[None, None, 8.038, None, None, 2.8, None, None, 2.542, None]",2.542,4.46,8.038,"[None, None, None, 349983, 387704, None, 351958, 348890, None, 350176]","[90, 90, 0, 90, 90, 0, 90, 90, 0, 90]",0,63,90
6,393139,69a69155-af3a-4ab9-a082-58da18f85acb-0005ffb3,348890,69a69155-af3a-4ab9-a082-58da18f85acb-000552da,0.29999999999999993,2.9999999999999516,"[349688, 349649, 348774, None, None, 349065, None, 351821, 351663, None]",10,"[None, None, None, 349983, 387704, None, 351958, None, None, 350176]",10,"[None, None, None, 10.631, 10.631, None, 8.4, None, None, 8.4]",8.4,9.515,10.631,"[None, None, 348774, None, None, 349065, None, 351821, 351663, None]","[90, 90, 90, 0, 0, 90, 0, 90, 90, 0]",0,54,90
7,393139,69a69155-af3a-4ab9-a082-58da18f85acb-0005ffb3,351663,69a69155-af3a-4ab9-a082-58da18f85acb-00055daf,0.2,2.9999999999999516,"[349688, 349649, None, 349983, 387704, None, 351958, None, 348890, 350176]",10,"[None, None, 348774, None, None, 349065, None, 351821, None, None]",10,"[None, None, 5.297, None, None, 5.542, None, 2.542, None, None]",2.542,4.46,5.542,"[None, None, None, 349983, 387704, None, 351958, None, 348890, 350176]","[90, 90, 0, 90, 90, 0, 90, 0, 90, 90]",0,63,90
8,393139,69a69155-af3a-4ab9-a082-58da18f85acb-0005ffb3,350176,69a69155-af3a-4ab9-a082-58da18f85acb-000557e0,0.2,2.9999999999999516,"[349688, 349649, 348774, None, None, 349065, None, 351821, None, 351663]",10,"[None, None, None, 349983, 387704, None, None, 348890, None]",9,"[None, None, None, 2.031, 2.031, None, None, 8.4, None]",2.031,4.154,8.4,"[None, None, 348774, None, None, 349065, None, 351821, None, 351663]","[90, 90, 90, 0, 0, 90, 0, 90, 0, 90]",0,54,90
9,393142,69a69155-af3a-4ab9-a082-58da18f85acb-0005ffb6,349065,69a69155-af3a-4ab9-a082-58da18f85acb-00055389,0.29999999999999993,2.9999999999999516,"[349688, 349649, 387704, None, 349122]",5,"[None, None, None, 350789, None]",5,"[None, None, None, 2.8, None]",2.8,2.8,2.8,"[None, None, 387704, None, 349122]","[90, 90, 90, 0, 90]",0,72,90
