ifcguid,head_height,type_ifcguid,classification
3fetmy$FH9ZAKfQ_vq7_Pq,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3fetmy$FH9ZAKfQ_vq7_Pp,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3fetmy$FH9ZAKfQ_vq7_Po,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3fetmy$FH9ZAKfQ_vq7_Pn,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3fetmy$FH9ZAKfQ_vq7_Pm,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3fetmy$FH9ZAKfQ_vq7_P$,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3fetmy$FH9ZAKfQ_vq7_P_,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3fetmy$FH9ZAKfQ_vq7_Pz,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3fetmy$FH9ZAKfQ_vq7_Py,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3fetmy$FH9ZAKfQ_vq7_Px,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3fetmy$FH9ZAKfQ_vq7_Pw,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3fetmy$FH9ZAKfQ_vq7_Pv,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3fetmy$FH9ZAKfQ_vq7_Pu,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3fetmy$FH9ZAKfQ_vq7_Pd,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3fetmy$FH9ZAKfQ_vq7_Pc,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3fetmy$FH9ZAKfQ_vq7_Pb,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3fetmy$FH9ZAKfQ_vq7_Pa,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3fetmy$FH9ZAKfQ_vq7_PZ,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3fetmy$FH9ZAKfQ_vq7_PY,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3fetmy$FH9ZAKfQ_vq7_Tc,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
